Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SMD,Autoformer,1,1.2971942,0.8586105,2.2515166
SMD,Autoformer,2,1.2533861,0.8085172,2.2039626
SMD,Autoformer,3,1.2210964,0.7755086,2.1822684
SMD,Autoformer,4,1.214921,0.80861,2.1717937
SMD,Autoformer,5,1.1997757,0.7814944,2.1666875
SMD,Autoformer,6,1.1966776,0.7672595,2.164165
SMD,Autoformer,7,1.1930206,0.7639186,2.1629014
SMD,Autoformer,8,1.196207,0.7769167,2.1622512
SMD,Autoformer,9,1.1933042,0.7558188,2.1619301
SMD,Autoformer,10,1.1924714,0.7725148,2.1617684
SMD,Autoformer,11,1.1934816,0.7664909,2.1616871
SMD,Autoformer,12,1.1934864,0.7721324,2.1616445
SMD,DACAD,1,1.2425708,0.767204,2.3128047
SMD,DACAD,2,1.1596882,0.7328568,2.2238197
SMD,DACAD,3,1.1112766,0.7294551,2.1826196
SMD,DACAD,4,1.091984,0.7301196,2.1627793
SMD,DACAD,5,1.0729651,0.6861969,2.1528683
SMD,DACAD,6,1.0657469,0.687514,2.1479909
SMD,DACAD,7,1.0640723,0.6835096,2.145582
SMD,DACAD,8,1.0604176,0.708401,2.1443467
SMD,DACAD,9,1.065333,0.7214119,2.1437354
SMD,DACAD,10,1.0589096,0.7034056,2.1434257
SMD,Fourier_Transformer,1,1.2057847,0.6863984,2.0177007
SMD,Fourier_Transformer,2,1.0975863,0.5973025,1.9244559
SMD,Fourier_Transformer,3,1.0434684,0.5771049,1.8931681
SMD,Fourier_Transformer,4,1.044615,0.5722983,1.8808564
SMD,Fourier_Transformer,5,1.0132521,0.5524425,1.8750763
SMD,Fourier_Transformer,6,1.0089168,0.5519245,1.8721952
SMD,Fourier_Transformer,7,1.0060872,0.5532753,1.8707237
SMD,Fourier_Transformer,8,1.0159343,0.5632592,1.8700269
SMD,Fourier_Transformer,9,1.0041252,0.5447946,1.8696736
SMD,Fourier_Transformer,10,0.9953814,0.5452229,1.8694867
SMD,Fourier_Transformer,11,1.0049197,0.5478244,1.8693978
SMD,Fourier_Transformer,12,0.9867314,0.5559134,1.8693485
SMD,OmniAnomaly,1,1.1150077,0.5784579,2.1773806
SMD,OmniAnomaly,2,1.0397112,0.5545526,2.0920355
SMD,OmniAnomaly,3,0.9878379,0.5454327,2.0540137
SMD,OmniAnomaly,4,0.9707958,0.5326685,2.035888
SMD,OmniAnomaly,5,0.9543756,0.5308511,2.0266335
SMD,OmniAnomaly,6,0.9480304,0.5284503,2.0214143
SMD,OmniAnomaly,7,0.9515833,0.5261475,2.0201085
SMD,OmniAnomaly,8,0.9448378,0.5232058,2.0184548
SMD,OmniAnomaly,9,0.9413549,0.5259891,2.018007
SMD,OmniAnomaly,10,0.9421714,0.5420097,2.0173848
SMD,OmniAnomaly,11,0.94122,0.5151423,2.017689
SMD,OmniAnomaly,12,0.9401612,0.5232735,2.0174544
SMD,OmniAnomaly,13,0.9419418,0.5202073,2.0173759
SMD,OmniAnomaly,14,0.9408692,0.5460215,2.0181942
SMD,TimesNet,1,0.3450302,0.1738938,1.0133003
SMD,TimesNet,2,0.3259497,0.1681404,0.965367
SMD,TimesNet,3,0.3116233,0.1703358,0.9435198
SMD,TimesNet,4,0.3077062,0.1670996,0.9326445
SMD,TimesNet,5,0.3048378,0.1654518,0.9274222
SMD,TimesNet,6,0.3005286,0.1541956,0.9246249
SMD,TimesNet,7,0.3003357,0.1611278,0.9233678
SMD,TimesNet,8,0.3057256,0.1662855,0.9227152
SMD,TimesNet,9,0.2995107,0.1562587,0.9223667
SMD,TranAD,1,0.2686773,0.1426172,1.0191419
SMD,TranAD,2,0.2696076,0.1359729,0.9843017
SMD,TranAD,3,0.2562515,0.1367933,0.9681886
SMD,TranAD,4,0.2587207,0.1289436,0.9618146
SMD,TranAD,5,0.2534937,0.135845,0.9594225
SMD,TranAD,6,0.2527293,0.1319678,0.9576419
SMD,TranAD,7,0.2526037,0.1367567,0.9568763
SMD,Transformer,1,1.1969811,0.792491,2.1045411
SMD,Transformer,2,1.0895547,0.7051427,2.0003798
SMD,Transformer,3,1.0263791,0.6634648,1.9563372
SMD,Transformer,4,0.9932856,0.6411316,1.9358302
SMD,Transformer,5,0.9774122,0.6163663,1.9259107
SMD,Transformer,6,0.9697092,0.6220304,1.9209837
SMD,Transformer,7,0.9746045,0.6105632,1.918523
SMD,Transformer,8,0.9663873,0.6113679,1.9172903
SMD,Transformer,9,0.9665858,0.6264224,1.9166651
SMD,Transformer,10,0.9638317,0.6167279,1.9163513
SMD,ModernTCN,1,0.2414763,0.1358563,0.8805102
SMD,ModernTCN,2,0.2260283,0.1159,0.8723871
SMD,ModernTCN,3,0.210145,0.1171449,0.8658697
SMD,ModernTCN,4,0.2030792,0.1116871,0.8625118
SMD,ModernTCN,5,0.198118,0.108514,0.8606111
SMD,ModernTCN,6,0.1964564,0.1064304,0.8597512
SMD,ModernTCN,7,0.195272,0.1081485,0.8594999
SMD,ModernTCN,8,0.195191,0.107733,0.8593273
SMD,ModernTCN,9,0.1947979,0.1095417,0.8591846
SMD,CATCH,1,1.1736729,0.7154043,2.1637046
SMD,CATCH,2,1.0872318,0.6683047,2.0875204
