Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SWAT,Autoformer,1,0.8092832,0.4235826,7.4204187
SWAT,Autoformer,2,0.7636992,0.4121603,7.4040508
SWAT,Autoformer,3,0.7541402,0.4078863,7.4030352
SWAT,Autoformer,4,0.7513133,0.4064432,7.4012837
SWAT,Autoformer,5,0.7501797,0.4055195,7.4000435
SWAT,Autoformer,6,0.7496191,0.4051925,7.3997188
SWAT,Autoformer,7,0.7494827,0.4050146,7.3994823
SWAT,Autoformer,8,0.7496062,0.4049404,7.3993888
SWAT,Autoformer,9,0.7493362,0.4048817,7.3993254
SWAT,Autoformer,10,0.7492572,0.4048758,7.399313
SWAT,Autoformer,11,0.7492775,0.4048362,7.3993068
SWAT,Autoformer,12,0.7492388,0.4048346,7.3993053
SWAT,Autoformer,13,0.7492074,0.4048338,7.3993049
SWAT,Autoformer,14,0.7492569,0.4048423,7.3993001
SWAT,Autoformer,15,0.7492155,0.4048546,7.399302
SWAT,Autoformer,16,0.749292,0.4048476,7.3992987
SWAT,DACAD,1,0.2739136,0.0507619,2.0173695
SWAT,DACAD,2,0.0505492,0.0206887,1.2583947
SWAT,DACAD,3,0.027705,0.0144579,0.9506642
SWAT,DACAD,4,0.0209553,0.0122348,0.8325674
SWAT,DACAD,5,0.0184358,0.0113283,0.7798399
SWAT,DACAD,6,0.0173645,0.0109275,0.756685
SWAT,DACAD,7,0.0168678,0.0107205,0.746219
SWAT,DACAD,8,0.0166308,0.0106269,0.7401296
SWAT,DACAD,9,0.0165213,0.0105824,0.7378143
SWAT,DACAD,10,0.0164663,0.0105602,0.7365018
SWAT,DACAD,11,0.0164418,0.0105473,0.7358395
SWAT,DACAD,12,0.016423,0.0105402,0.735525
SWAT,DACAD,13,0.0164164,0.0105357,0.7353674
SWAT,DACAD,14,0.016405,0.0105383,0.7353199
SWAT,DACAD,15,0.0164129,0.0105373,0.7352954
SWAT,DACAD,16,0.0164103,0.0105382,0.7352893
SWAT,Fourier_Transformer,1,0.5517838,0.132944,6.1002278
SWAT,Fourier_Transformer,2,0.3666687,0.0999898,4.6617417
SWAT,Fourier_Transformer,3,0.3032891,0.0870078,3.9853139
SWAT,Fourier_Transformer,4,0.2704331,0.0789891,3.6400344
SWAT,Fourier_Transformer,5,0.2551791,0.0751758,3.4701991
SWAT,Fourier_Transformer,6,0.2473641,0.0734506,3.3845246
SWAT,Fourier_Transformer,7,0.244734,0.0727917,3.3435619
SWAT,Fourier_Transformer,8,0.2420363,0.0724137,3.3218963
SWAT,Fourier_Transformer,9,0.2407015,0.0722355,3.3119166
SWAT,Fourier_Transformer,10,0.2404354,0.0721668,3.3067582
SWAT,Fourier_Transformer,11,0.2399196,0.0721171,3.3040962
SWAT,Fourier_Transformer,12,0.2401221,0.0721025,3.3028574
SWAT,Fourier_Transformer,13,0.2402981,0.0720864,3.3023307
SWAT,Fourier_Transformer,14,0.2401349,0.0720941,3.3021801
SWAT,Fourier_Transformer,15,0.2387744,0.0720852,3.3021548
SWAT,Fourier_Transformer,16,0.240148,0.07209,3.3021481
SWAT,Fourier_Transformer,17,0.2407205,0.0720901,3.3021457
SWAT,Fourier_Transformer,18,0.2391588,0.072097,3.3021457
SWAT,OmniAnomaly,1,0.2602098,0.0540227,2.1853909
SWAT,OmniAnomaly,2,0.0457384,0.0177062,1.3015883
SWAT,OmniAnomaly,3,0.0216124,0.0111894,0.9758139
SWAT,OmniAnomaly,4,0.0151991,0.0090897,0.8377653
SWAT,OmniAnomaly,5,0.0128259,0.008238,0.7714091
SWAT,OmniAnomaly,6,0.011804,0.0078346,0.743886
SWAT,OmniAnomaly,7,0.0113259,0.0076489,0.7285858
SWAT,OmniAnomaly,8,0.0110975,0.0075579,0.7218964
SWAT,OmniAnomaly,9,0.0109861,0.007511,0.7185148
SWAT,OmniAnomaly,10,0.0109298,0.0074878,0.7167355
SWAT,OmniAnomaly,11,0.0109029,0.0074778,0.7158515
SWAT,OmniAnomaly,12,0.0108886,0.0074716,0.7154699
SWAT,OmniAnomaly,13,0.0108823,0.0074688,0.7152522
SWAT,OmniAnomaly,14,0.010879,0.0074676,0.7151975
SWAT,OmniAnomaly,15,0.0108784,0.0074688,0.7151759
SWAT,OmniAnomaly,16,0.0108778,0.0074674,0.7151724
SWAT,OmniAnomaly,17,0.0108774,0.0074672,0.7151703
